LibSize,x:y,y:x
20,0.5550208904304148,0.5583052974761896
30,0.7062194066481132,0.726117626058435
40,0.8256168983882968,0.8536490396623324
50,0.9088227939322319,0.9159795621541459
60,0.9459194076061965,0.954961397291372
70,0.9687647465464556,0.974827963867856
80,0.9840481437893898,0.9860579820627122
90,0.993029042466446,0.9936391580659695
100,0.9966431701255414,0.997560456257709
110,0.9982452791178518,0.9987587676966919
120,0.9993582831201264,0.9995522228363543
